Region,Date,Average Price,Lines
London,2013-01-01,23.398333,
London,2013-02-01,23.274137,
London,2013-03-01,23.131666,
London,2013-04-01,23.131666,
London,2013-05-01,23.131666,
London,2013-06-01,23.131666,
London,2013-07-01,23.17069,
London,2013-08-01,23.205172,
London,2013-09-01,23.248215,
London,2013-10-01,23.360344,
London,2013-11-01,23.381666,
London,2013-12-01,23.381666,
London,2014-01-01,23.448334,
London,2014-02-01,23.515518,
London,2014-03-01,23.315,
London,2014-04-01,23.325863,
London,2014-05-01,23.265,
London,2014-06-01,23.331667,
London,2014-07-01,23.431667,
London,2014-08-01,23.431667,
London,2014-09-01,23.398333,
London,2014-10-01,23.398333,
London,2014-11-01,23.377586,
London,2014-12-01,23.398333,
London,2015-01-01,23.774137,
London,2015-02-01,23.774137,
London,2015-03-01,23.681667,
London,2015-04-01,23.681667,
London,2015-05-01,23.67069,
London,2015-06-01,23.781666,
London,2015-07-01,23.774137,
London,2015-08-01,23.781666,
London,2015-09-01,23.781666,
London,2015-10-01,23.848333,
London,2015-11-01,23.948334,
London,2015-12-01,23.948334,
London,2016-01-01,24.015,
London,2016-02-01,23.944643,
London,2016-03-01,23.948334,
London,2016-04-01,23.948334,
London,2016-05-01,23.981667,
London,2016-06-01,23.981667,
London,2016-07-01,23.981667,
London,2016-08-01,24.031666,
London,2016-09-01,23.998333,
London,2016-10-01,24.033928,
London,2016-11-01,24.222414,
London,2016-12-01,24.365,
London,2017-01-01,24.398333,
London,2017-02-01,24.431667,
London,2017-03-01,24.431667,
London,2017-04-01,24.67069,
London,2017-05-01,24.498276,
London,2017-06-01,24.681667,
London,2017-07-01,24.705172,
London,2017-08-01,24.848333,
London,2017-09-01,24.981667,
London,2017-10-01,25.181667,
London,2017-11-01,25.181667,
London,2017-12-01,25.181667,
London,2018-01-01,25.222414,
London,2018-02-01,25.181667,
London,2018-03-01,25.181667,
London,2018-04-01,25.360344,
London,2018-05-01,25.415,
London,2018-06-01,25.465,
London,2018-07-01,25.465,
London,2018-08-01,25.465,
London,2018-09-01,25.465,
London,2018-10-01,25.565,
London,2018-11-01,25.565,
London,2018-12-01,25.631666,
London,2019-01-01,25.653448,
London,2019-02-01,26.053572,
London,2019-03-01,25.983334,
London,2019-04-01,26.01724,
London,2019-05-01,26.116667,
London,2019-06-01,26.12069,
London,2019-07-01,26.15,
London,2019-08-01,26.316668,
London,2019-09-01,26.465517,
London,2019-10-01,26.45,
London,2019-11-01,26.45,
London,2019-12-01,26.583334,
London,2020-01-01,26.816668,
London,2020-02-01,26.87931,
