Region,Date,Average Price,Lines
London,2006-02-01,10.115,
London,2006-03-01,10.162059,
London,2006-04-01,10.384849,
London,2006-05-01,10.196,
London,2006-06-01,10.194615,
London,2006-07-01,9.8914995,
London,2006-08-01,10.403023,
London,2006-09-01,10.584047,
London,2006-10-01,10.32825,
London,2006-11-01,10.652143,
London,2006-12-01,10.677674,
London,2007-01-01,10.2775,
London,2007-02-01,10.299756,
London,2007-03-01,10.197317,
London,2007-04-01,10.3335,
London,2007-05-01,10.27125,
London,2007-06-01,10.032895,
London,2007-07-01,10.335,
London,2007-08-01,10.28,
London,2007-09-01,10.2375,
London,2007-10-01,10.520681,
London,2007-11-01,10.386591,
London,2007-12-01,10.278085,
London,2008-01-01,10.208043,
London,2008-02-01,10.195294,
London,2008-03-01,10.136939,
London,2008-04-01,10.345958,
London,2008-05-01,10.390638,
London,2008-06-01,10.226596,
London,2008-07-01,10.080208,
London,2008-08-01,10.169791,
London,2008-09-01,10.256383,
London,2008-10-01,10.0836735,
London,2008-11-01,10.300208,
London,2008-12-01,10.175333,
London,2009-01-01,10.58325,
London,2009-02-01,10.469184,
London,2009-03-01,10.193726,
London,2009-04-01,10.237692,
London,2009-05-01,10.184509,
London,2009-06-01,10.0475,
London,2009-07-01,10.200588,
London,2009-08-01,10.1832695,
London,2009-09-01,10.250577,
London,2009-10-01,10.288301,
London,2009-11-01,10.460566,
London,2009-12-01,10.390577,
London,2010-01-01,10.6234045,
London,2010-02-01,10.567678,
London,2010-03-01,10.64,
London,2010-04-01,10.945091,
London,2010-05-01,10.95625,
London,2010-06-01,10.905636,
London,2010-07-01,10.891228,
London,2010-08-01,10.959822,
London,2010-09-01,11.04375,
London,2010-10-01,11.083636,
London,2010-11-01,11.170702,
London,2010-12-01,11.201404,
London,2011-01-01,11.293509,
London,2011-02-01,10.782105,
London,2011-03-01,10.746727,
London,2011-04-01,10.847777,
London,2011-05-01,10.956604,
London,2011-06-01,10.9722,
London,2011-07-01,11.09902,
London,2011-08-01,11.224,
London,2011-09-01,10.985918,
London,2011-10-01,10.969804,
London,2011-11-01,11.117308,
London,2011-12-01,11.170577,
London,2012-01-01,11.208846,
London,2012-02-01,11.038431,
London,2012-03-01,11.125193,
London,2012-04-01,11.214545,
London,2012-05-01,11.112321,
London,2012-06-01,11.115345,
London,2012-07-01,11.222931,
London,2012-08-01,11.160351,
London,2012-09-01,11.027242,
London,2012-10-01,11.091724,
London,2012-11-01,11.150345,
London,2012-12-01,11.111356,
London,2013-01-01,11.029821,
London,2013-02-01,11.574035,
London,2013-03-01,11.580848,
London,2013-04-01,11.702666,
London,2013-05-01,11.652712,
London,2013-06-01,11.562034,
London,2013-07-01,11.673051,
London,2013-08-01,11.723448,
London,2013-09-01,11.7535,
London,2013-10-01,11.764576,
London,2013-11-01,11.778793,
London,2013-12-01,11.883793,
London,2014-01-01,11.926296,
London,2014-02-01,11.841296,
London,2014-03-01,11.675555,
London,2014-04-01,11.699636,
London,2014-05-01,11.515438,
London,2014-06-01,11.508983,
London,2014-07-01,11.625273,
London,2014-08-01,11.778772,
London,2014-09-01,11.626182,
London,2014-10-01,11.682281,
London,2014-11-01,11.629286,
London,2014-12-01,11.729649,
London,2015-01-01,11.76827,
London,2015-02-01,11.779166,
London,2015-03-01,11.642407,
London,2015-04-01,11.626182,
London,2015-05-01,11.662963,
London,2015-06-01,11.737321,
London,2015-07-01,11.661035,
London,2015-08-01,11.664483,
London,2015-09-01,11.651698,
London,2015-10-01,11.565893,
London,2015-11-01,11.59,
London,2015-12-01,11.721636,
London,2016-01-01,11.78,
London,2016-02-01,12.1668,
London,2016-03-01,12.2678,
London,2016-04-01,12.394151,
London,2016-05-01,12.186153,
London,2016-06-01,12.291897,
London,2016-07-01,12.520345,
London,2016-08-01,12.314445,
London,2016-09-01,12.191818,
London,2016-10-01,12.271428,
London,2016-11-01,12.244737,
London,2016-12-01,12.219298,
London,2017-01-01,12.263214,
London,2017-02-01,12.740926,
London,2017-03-01,12.655614,
London,2017-04-01,12.635439,
London,2017-05-01,12.883276,
London,2017-06-01,12.891034,
London,2017-07-01,12.972931,
London,2017-08-01,12.706667,
London,2017-09-01,12.917759,
London,2017-10-01,13.001379,
London,2017-11-01,13.205689,
London,2017-12-01,13.232413,
London,2018-01-01,13.253965,
London,2018-02-01,12.847143,
London,2018-03-01,13.037547,
London,2018-04-01,13.005283,
London,2018-05-01,13.370189,
London,2018-06-01,13.307777,
London,2018-07-01,13.233818,
London,2018-08-01,13.212692,
London,2018-09-01,13.429804,
London,2018-10-01,13.427037,
London,2018-11-01,13.452075,
London,2018-12-01,13.300185,
London,2019-01-01,13.269643,
London,2019-02-01,13.318868,
London,2019-03-01,13.269444,
London,2019-04-01,13.160204,
London,2019-05-01,12.722884,
London,2019-06-01,12.83902,
London,2019-07-01,13.096792,
London,2019-08-01,13.301569,
London,2019-09-01,13.164561,
London,2019-10-01,13.173221,
London,2019-11-01,13.473272,
London,2019-12-01,13.299482,
London,2020-01-01,13.417407,
London,2020-02-01,13.541698,Covid
London,2020-03-01,13.2109995,
London,2020-07-01,14.05075,
London,2020-08-01,11.604907,
London,2020-09-01,13.569604,
London,2020-10-01,13.590608,
London,2020-12-01,13.9188,
London,2021-05-01,14.422375,
London,2021-06-01,13.770367,
London,2021-07-01,14.11762,
London,2021-08-01,14.123771,
London,2021-09-01,14.018957,
London,2021-10-01,14.224082,
London,2021-11-01,14.1174,
London,2021-12-01,14.261837,
London,2022-01-01,13.9525,
London,2022-02-01,13.9025,
London,2022-03-01,14.328775,
London,2022-04-01,14.789412,
London,2022-05-01,14.771346,
London,2022-06-01,14.847059,
London,2022-07-01,15.0222,
London,2022-08-01,14.835,
London,2022-09-01,14.955098,
London,2022-10-01,14.953585,
London,2022-11-01,15.1075,
Rest of the UK,2006-02-01,9.591319,
Rest of the UK,2006-03-01,9.638273,
Rest of the UK,2006-04-01,9.748773,
Rest of the UK,2006-05-01,9.839139,
Rest of the UK,2006-06-01,9.899476,
Rest of the UK,2006-07-01,9.870861,
Rest of the UK,2006-08-01,9.81699,
Rest of the UK,2006-09-01,9.867122,
Rest of the UK,2006-10-01,9.94087,
Rest of the UK,2006-11-01,10.072287,
Rest of the UK,2006-12-01,9.961382,
Rest of the UK,2007-01-01,9.930097,
Rest of the UK,2007-02-01,9.967906,
Rest of the UK,2007-03-01,10.063628,
Rest of the UK,2007-04-01,10.150334,
Rest of the UK,2007-05-01,10.15398,
Rest of the UK,2007-06-01,10.18616,
Rest of the UK,2007-07-01,10.120375,
Rest of the UK,2007-08-01,10.066833,
Rest of the UK,2007-09-01,10.136564,
Rest of the UK,2007-10-01,10.144994,
Rest of the UK,2007-11-01,10.193581,
Rest of the UK,2007-12-01,10.133573,
Rest of the UK,2008-01-01,10.137269,
Rest of the UK,2008-02-01,10.115426,
Rest of the UK,2008-03-01,10.224934,
Rest of the UK,2008-04-01,10.217043,
